Segment,Plant,Product,Quantity,Risk Level,Segement,Code,UOM,Status,Classification,Level 1,Level 2,Level 3,Scrapping Status,Scrapping Month,Value in EGP,Date
,EGLA,"Fasdikad Pine NRB Cses 24^27,5cl TE",50,Low,FG,189990,Case,Not Booked,Expired,,,,Pending,22-Aug,7517.5,
,EGLF,Phshshas White BIB 10L,34.2033746,Low,FG,49818,PC,Not Booked,quality Issue,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Jan,7485,
,EGLE,CAPE BAY Chardonnay NRB 12^75cl,7,Low,FG,4984,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,7273.37,
,EGB3,Can Al Ameasnb 398ml STD TE,34.2033746,Low,Pack,89005045,Pc,Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,22-Dec,7142.04,
,EGLX,Phshshas Red BIB 10L,34.2033746,Low,FG,4987,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Mar,6649.5,
,EGB3,Unknown,450,Low,Raw,890075185,Kg,Booked, Fayrouz Flavour ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,22-May,6648,
,EGB3,Unknown,460,High,Raw,890075185,Kg,Booked, Fayrouz Flavour ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,22-May,6648,
,EGB3,Unknown,960,Low,Raw,890075185,KG,Not Booked,Expired,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain, MARKETING/SALES/SCH.Expired date regular SKU,Done,22-Jan,6369,
,EGB3,Unknown,970,High,Raw,890075185,KG,Not Booked,Expired,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain, MARKETING/SALES/SCH.Expired date regular SKU,Done,22-Jan,6369,
,EGLE,CGM White NRB 12^75cl,34.2033746,Low,FG,4974,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,6191.01,
,EGB1,Unknown,120,Medium,Pack,89089448,Pc,Booked,SKU simplification ,Write_off_Sales ,Sales,Material no longer used,Pending,22-Dec,5848,
